Date,Time,Vendor,Employee,Amount,Location,Card Type,Transaction Type
7/8/23,18:23:39,Diaz LLC,Craig Roman,469.48,"Gregoryview, Indiana, Nepal",AmEx,Purchase
8/19/23,17:09:54,Diaz PLC,Dr. April Adams DDS,400.97,"Priceview, Idaho, Liechtenstein",MasterCard,Purchase
4/4/23,0:45:06,Diaz-Martin,Dr. April Adams DDS,261.01,"New Brianna, New Jersey, Maldives",AmEx,Purchase
7/14/23,15:55:16,Dixon-Walsh,Aaron Perez,464.3,"East Brandonfurt, Arizona, Saudi Arabia",AmEx,Purchase
10/27/23,20:01:49,Dominguez and Sons,Tiffany Ramirez,312.79,"Michaelfurt, Alaska, Ghana",MasterCard,Purchase
2/2/24,10:26:37,Dominguez Ltd,Craig Roman,477.48,"South Dustinhaven, Louisiana, Macedonia",AmEx,Purchase
12/8/23,2:28:48,Dominguez-Reynolds,Alyssa Goodwin,21.1,"South Jeffery, Georgia, Algeria",Visa,Purchase
2/2/24,0:40:15,"Dominguez, Norris and Vasquez",Carly Russell,179,"Brandyshire, Massachusetts, Malaysia",MasterCard,Purchase
5/1/23,4:34:20,Donaldson PLC,Tammy Parker,34.23,"Willieport, New Hampshire, Guatemala",Visa,Purchase
5/19/23,18:44:19,Donaldson-Williams,Ana Gates,11.25,"New Zacharyburgh, Illinois, Libyan Arab Jamahiriya",MasterCard,Purchase
8/15/23,5:36:28,Donovan-Nelson,Tiffany Barrera,90.37,"Lake Katrinashire, North Dakota, Zimbabwe",MasterCard,Purchase
5/29/23,13:40:01,Dorsey Inc,Christopher Hicks,464.34,"East Jamieburgh, South Dakota, United Kingdom",Visa,Purchase
6/8/23,17:49:34,"Dorsey, Edwards and Hernandez",Dr. April Adams DDS,133.45,"Snowchester, Wisconsin, Kiribati",AmEx,Purchase
8/14/23,19:35:21,Downs Inc,Christopher Hicks,113.68,"Scottmouth, Hawaii, Jordan",AmEx,Purchase
2/28/23,18:26:22,"Drake, Martin and Maxwell",Tiffany Ramirez,241.15,"South Joshuashire, Iowa, Dominica",Visa,Purchase
9/24/23,19:01:43,"Duncan, Brown and Kirby",Christopher Hicks,417.08,"Johnsonshire, Wisconsin, Portugal",MasterCard,Purchase
7/5/23,10:32:34,Dunn LLC,Rodney Williams Jr.,5.05,"East Victoria, New Hampshire, Uganda",Visa,Purchase
4/30/23,0:32:04,"Dunn, Cannon and Richardson",Rebecca Fisher,412.27,"Fosterland, Arkansas, Brunei Darussalam",AmEx,Purchase
1/9/24,3:39:26,Dyer Group,Tiffany Barrera,300.84,"Rodriguezborough, Nevada, Azerbaijan",MasterCard,Purchase
3/13/23,21:14:34,Dyer-Kaufman,Marissa Myers,200.83,"Deanmouth, New Hampshire, Eritrea",AmEx,Purchase
7/27/23,12:30:40,"Eaton, Haney and Freeman",Julie Watkins,352.22,"Port Aaron, Virginia, Philippines",MasterCard,Purchase
1/27/24,23:14:56,Edwards Group,Daniel Johnson,217.79,"Mistyside, Connecticut, Fiji",AmEx,Purchase
5/9/23,5:46:28,Erickson-Santos,Andrea Smith,194.72,"Lisamouth, Texas, China",AmEx,Purchase
7/5/23,11:25:50,Estrada and Sons,Rebecca Fisher,380.2,"Jenniferchester, Alaska, Indonesia",MasterCard,Purchase
9/11/23,6:32:10,"Evans, Massey and Simpson",Andrea Smith,147.21,"East Ravenview, Louisiana, Puerto Rico",Visa,Purchase
9/12/23,7:24:44,Ferguson Ltd,Wanda Sullivan,309.8,"Haleyfort, Illinois, Namibia",AmEx,Purchase
2/12/24,0:13:35,Fields Ltd,Barbara Miller,126.44,"Allisonton, Montana, India",MasterCard,Purchase
2/3/24,7:20:27,"Fields, Ross and Townsend",Shannon Guerra,24.99,"East Deborahfort, North Dakota, Turks and Caicos Islands",AmEx,Purchase
12/25/23,11:16:00,Finley-Kennedy,Katie Schmitt,170.9,"Jessicafurt, North Carolina, Puerto Rico",MasterCard,Purchase
12/1/23,15:33:42,Fisher Inc,Dawn Ramirez,244.85,"Jacobsview, Iowa, Egypt",Visa,Purchase
6/18/23,20:18:08,Fisher LLC,Jennifer Gray,232.12,"Joshuachester, Oklahoma, United Kingdom",AmEx,Purchase
10/14/23,7:52:56,Fisher-Shannon,Dawn Ramirez,477.38,"Lake Michellefort, Idaho, Cyprus",AmEx,Purchase
6/5/23,10:37:19,Flores LLC,William Jackson,162.98,"North Joshuashire, Mississippi, Ecuador",Visa,Purchase
11/24/23,11:09:43,Flores LLC,Eric Wilson,134.77,"West Robertville, Nebraska, Russian Federation",Visa,Purchase
12/16/23,22:22:17,"Flores, Fernandez and Waller",Tiffany Barrera,386.83,"East William, Delaware, Guatemala",Visa,Purchase
1/20/24,18:59:35,Flowers and Sons,Tiffany Ramirez,107.2,"West Richardshire, Nebraska, Argentina",AmEx,Purchase
3/27/23,3:13:35,Flynn PLC,Cindy Washington,299.08,"Geraldview, Iowa, Kyrgyz Republic",AmEx,Purchase
3/31/23,0:32:22,Fowler PLC,Shannon Guerra,295.16,"Mcdanielton, Connecticut, Uruguay",MasterCard,Purchase
10/30/23,2:10:13,Fox PLC,Alyssa Goodwin,88.52,"Lake Anthony, Arizona, Holy See (Vatican City State)",MasterCard,Purchase
5/19/23,13:10:07,Franco-Perez,Zachary Lopez,86.7,"West Blake, South Dakota, Saint Lucia",Visa,Purchase
8/20/23,13:33:25,Frank-Christian,Michael Long,456.17,"West Phillipshire, Rhode Island, Hong Kong",AmEx,Purchase
11/1/23,2:58:36,Frank-Williams,Amanda Roberts,11.34,"Lake Jenniferstad, Michigan, Ethiopia",AmEx,Purchase
1/3/24,16:27:36,Frazier Inc,Andrea Smith,174.03,"South Jacqueline, Utah, Libyan Arab Jamahiriya",Visa,Purchase
6/28/23,2:47:09,Freeman Ltd,Julie Watkins,122.69,"East Maria, Missouri, Comoros",Visa,Purchase
10/25/23,0:25:23,French-Herring,Alyssa Goodwin,297.13,"Thomasside, New Jersey, Yemen",Visa,Purchase
11/28/23,19:09:02,"Frost, Castillo and Miller",Cheyenne Jones,216.61,"Sheilamouth, Illinois, Equatorial Guinea",Visa,Purchase
6/25/23,2:02:10,Fuentes-Ritter,William Jackson,232.88,"Rebeccachester, Oklahoma, Wallis and Futuna",Visa,Purchase
11/21/23,17:23:15,Fuentes-Wallace,Andrea Smith,277.45,"Port Patrickburgh, Oklahoma, Ireland",Visa,Purchase
2/13/24,23:57:32,Gallagher-Thornton,Mackenzie Graham,493.51,"South Paulafurt, Oklahoma, Somalia",MasterCard,Purchase
4/5/23,20:17:11,"Gallegos, Thornton and Smith",John Wallace,59.35,"Jennifershire, New Mexico, Pakistan",MasterCard,Purchase
1/31/24,12:07:42,"Galloway, Lane and Oconnell",Rodney Williams Jr.,197.31,"Hornfurt, Oklahoma, Guernsey",Visa,Purchase
8/13/23,7:28:55,Galvan Group,Julie Watkins,238.47,"Lake Lauren, Florida, British Virgin Islands",Visa,Purchase
3/30/23,11:06:21,Galvan-Pierce,Charles Thomas,415,"Victorville, Colorado, United States Minor Outlying Islands",MasterCard,Purchase
7/29/23,19:49:27,"Garcia, Gutierrez and Griffin",Dr. April Adams DDS,70.54,"Meyersside, Montana, Bahrain",Visa,Purchase
2/8/24,14:18:14,"Garcia, Hunt and Williams",Alyssa Goodwin,380.95,"Briannaside, Michigan, Western Sahara",MasterCard,Purchase
3/17/23,5:19:48,"Gates, Rosales and Bailey",Tiffany Ramirez,407.06,"Adamport, Wisconsin, Saint Vincent and the Grenadines",Visa,Purchase
8/26/23,21:15:23,"Gentry, Arroyo and Barton",Rodney Williams Jr.,418.85,"Rodriguezfurt, Connecticut, Mayotte",AmEx,Purchase
2/6/24,5:53:23,Gibbs-Hood,Rebecca Fisher,209.18,"Kyliefurt, Maine, Malta",AmEx,Purchase
2/18/23,19:11:26,Gibson Inc,Daniel Johnson,333.09,"New Michael, Mississippi, Mozambique",MasterCard,Purchase
12/6/23,8:41:33,Gilbert-Rubio,Colleen Butler,152.41,"Heatherbury, Maine, Ecuador",AmEx,Purchase
5/11/23,15:45:32,"Gilmore, Kennedy and Arias",Julie Watkins,370.27,"Jessehaven, Florida, Nauru",MasterCard,Purchase
3/7/23,15:17:57,Glenn-Taylor,Selena Nichols,373.93,"Lake Javiermouth, Texas, Togo",MasterCard,Purchase
4/29/23,22:54:43,Gomez LLC,Lauren Romero,474.82,"Claytontown, Iowa, Japan",MasterCard,Purchase
11/9/23,23:43:10,Gomez PLC,Ana Gates,360.07,"Shannonmouth, Rhode Island, Brunei Darussalam",AmEx,Purchase
2/23/23,3:09:49,Gonzales and Sons,Marissa Myers,30.23,"North Lisaberg, West Virginia, Ukraine",Visa,Purchase
4/16/23,6:25:53,Gonzalez-Barnes,Colleen Butler,89.88,"New William, Indiana, Bhutan",Visa,Purchase
1/5/24,3:51:58,Gonzalez-Ellis,Alyssa Goodwin,130.6,"Melissaburgh, Kentucky, Bouvet Island (Bouvetoya)",Visa,Purchase
11/3/23,22:04:15,"Gonzalez, Kim and Tucker",Tammy Parker,17.5,"West Williamport, Missouri, Antigua and Barbuda",AmEx,Purchase
8/30/23,22:15:23,"Gonzalez, Mills and Bradley",John Wallace,95.48,"Donaldmouth, South Carolina, Romania",MasterCard,Purchase
12/4/23,15:01:12,Gordon and Sons,Michael Long,489.73,"South Hannah, Pennsylvania, Kenya",MasterCard,Purchase
7/2/23,8:40:06,Gordon PLC,Brian Davies,488.72,"East Joseph, West Virginia, Swaziland",Visa,Purchase
6/7/23,13:00:57,Gordon-Fisher,Carl Kelly,378.48,"Kimberlystad, New Mexico, Niue",MasterCard,Purchase
1/16/24,14:53:41,Graham LLC,Cheyenne Jones,327.7,"Catherineberg, Nebraska, Grenada",Visa,Purchase
5/7/23,18:54:25,"Graham, Miller and Neal",Tiffany Barrera,430.88,"Matthewborough, Utah, Turkmenistan",Visa,Purchase
7/10/23,18:27:35,Grant and Sons,Tyler Williams,152.2,"South Jenniferburgh, South Dakota, Svalbard & Jan Mayen Islands",MasterCard,Purchase
11/26/23,13:40:31,Grant PLC,Eric Wilson,387.84,"North Emmaberg, Washington, San Marino",Visa,Purchase
4/6/23,7:53:37,Grant-Bridges,Marissa Myers,200.97,"West Tylertown, Florida, Falkland Islands (Malvinas)",Visa,Purchase
7/20/23,18:57:38,"Gray, Butler and Franklin",Jennifer Gray,364.66,"Goldenland, Kentucky, El Salvador",AmEx,Purchase
10/11/23,4:10:08,"Gray, Stephens and Wallace",Carl Kelly,228.47,"Franklinshire, Alabama, Jersey",Visa,Purchase
6/4/23,16:40:27,Griffin Ltd,John Wallace,470.43,"North Chloemouth, Massachusetts, Israel",MasterCard,Purchase
12/3/23,7:27:24,Griffin-Smith,David Smith,187.48,"Cameronside, Kansas, Norway",Visa,Purchase
8/11/23,0:16:30,"Griffin, Smith and Brown",John Wallace,459.37,"South Annafort, Indiana, Peru",AmEx,Purchase
12/2/23,15:26:45,Guzman and Sons,David Smith,71.92,"Mariamouth, Utah, Gibraltar",AmEx,Purchase
6/24/23,21:24:49,Guzman Ltd,Patricia Herrera,205.18,"Donnastad, Nevada, Nicaragua",MasterCard,Purchase
5/1/23,19:51:45,Haas-Murillo,Victor Patel,476.31,"Port Emmaview, New Jersey, Malta",MasterCard,Purchase
5/10/23,7:18:15,Haley Ltd,William Jackson,218.69,"Shermanmouth, South Dakota, Liechtenstein",AmEx,Purchase
4/19/23,12:51:23,Hall Ltd,Alyssa Ruiz,433.09,"Frazierburgh, Illinois, Iceland",Visa,Purchase
2/20/23,23:17:43,Hall-Fletcher,Tiffany Ramirez,101.66,"Port Aaronport, Oregon, Slovenia",Visa,Purchase
9/10/23,20:50:32,"Hall, Murphy and Williams",Zachary Lopez,159.83,"Spencerhaven, Connecticut, Ghana",AmEx,Purchase
1/15/24,16:02:04,"Hamilton, Serrano and Salazar",Kyle Wolfe,200.57,"Lake Tamaramouth, Hawaii, Macedonia",Visa,Purchase
6/16/23,15:03:28,Haney Ltd,Victor Patel,310.44,"East Nicholas, Oregon, Belarus",MasterCard,Purchase
6/21/23,7:50:41,Hanson PLC,Dr. April Adams DDS,380.23,"Morenoside, Wyoming, France",AmEx,Purchase
12/13/23,20:51:52,Hanson-Pollard,Tiffany Ramirez,248.09,"New Brooke, New York, Latvia",Visa,Purchase
2/20/23,2:59:34,"Hanson, Norris and Noble",Mackenzie Graham,294.86,"Janiceton, Tennessee, Panama",AmEx,Purchase
7/25/23,23:20:03,"Harding, Simpson and Bauer",Tiffany Ramirez,360.78,"East Lisa, South Dakota, Albania",AmEx,Purchase
2/4/24,10:21:43,"Harmon, Ortiz and Young",Tammy Parker,418.9,"Port Carloston, Idaho, Netherlands Antilles",Visa,Purchase
8/8/23,4:34:02,Harper PLC,Carl Kelly,249.54,"New Laura, Maine, Bosnia and Herzegovina",AmEx,Purchase
4/30/23,17:56:49,Harrell PLC,Wanda Sullivan,200.77,"Garciafort, North Dakota, Norway",Visa,Purchase
7/2/23,18:31:02,"Harrington, Preston and Simmons",Barbara Miller,434.6,"Port Kimberly, Pennsylvania, Kenya",Visa,Purchase
11/23/23,20:26:36,Harris Ltd,Tiffany Ramirez,270.42,"South Julieland, Alabama, Guatemala",MasterCard,Purchase
9/2/23,2:05:15,Harris-Howard,Zachary Lopez,176.77,"West Davidfurt, Wyoming, Russian Federation",AmEx,Purchase
11/7/23,6:17:05,Harris-Kline,Nicole Hamilton,81.59,"Barnesborough, Hawaii, Madagascar",MasterCard,Purchase
4/25/23,21:37:48,Hayes Group,Michael Long,347.95,"Lake Troyton, Florida, Bermuda",Visa,Purchase
2/4/24,19:05:37,Hayes-Hickman,Julie Chandler,308.01,"Andrewmouth, Michigan, Fiji",Visa,Purchase
6/28/23,12:01:55,Haynes Group,Alyssa Ruiz,302.4,"Taylormouth, Idaho, United Kingdom",AmEx,Purchase
7/9/23,15:09:34,Haynes Group,Tiffany Ramirez,433.6,"Jacobsside, North Carolina, American Samoa",Visa,Purchase
4/19/23,11:36:45,"Haynes, Miller and Jimenez",Patricia Herrera,176.99,"West Steven, Indiana, Mexico",MasterCard,Purchase
2/19/23,17:06:30,Henderson Group,Carly Russell,157.19,"Traviston, Montana, Grenada",AmEx,Purchase
10/2/23,6:11:58,Henderson-Roberts,Selena Nichols,155.75,"North Stephenfurt, California, Namibia",Visa,Purchase
9/16/23,19:42:57,Henry LLC,Michael Long,109.6,"Port Jennifer, Georgia, Netherlands",AmEx,Purchase
8/16/23,15:19:15,"Henry, Mccarthy and Foster",John Wallace,417.62,"East Jacob, Pennsylvania, Gambia",Visa,Purchase
8/22/23,23:48:39,Hernandez PLC,Charles Thomas,27.63,"West Amanda, Delaware, Saudi Arabia",AmEx,Purchase
6/21/23,18:47:37,Hernandez-Craig,Lauren Romero,193.28,"East Robertside, Pennsylvania, Dominican Republic",AmEx,Purchase
11/17/23,3:32:51,"Hernandez, Jackson and Johnson",Eric Wilson,362.65,"Lake Nancyhaven, Arkansas, Nauru",AmEx,Purchase
6/3/23,7:05:53,"Hernandez, Ward and Smith",Cindy Washington,304.53,"Port Patriciaville, Kentucky, United States Minor Outlying Islands",Visa,Purchase
3/5/23,22:33:41,Hess-Black,William Jackson,136.33,"Williamshire, Iowa, Tajikistan",AmEx,Purchase
3/12/23,14:15:09,Hickman-Thornton,Julie Chandler,136.78,"West Joshua, Kansas, Sri Lanka",Visa,Purchase
11/7/23,20:36:07,Higgins-Davis,Amanda Roberts,100.37,"Elizabethmouth, Vermont, Mauritius",AmEx,Purchase
7/19/23,7:53:05,"Higgins, Lambert and Young",Jonathan Anderson,322.08,"South Rebeccaview, North Carolina, El Salvador",AmEx,Purchase
7/6/23,12:34:53,Hill Inc,Cheyenne Jones,424.65,"South Ann, Massachusetts, Pitcairn Islands",MasterCard,Purchase
1/30/24,5:31:18,Hill Ltd,Jonathan Anderson,169.96,"North Jayhaven, Louisiana, Russian Federation",Visa,Purchase
7/9/23,23:03:37,Hill-Moss,Aaron Perez,205.27,"New Alexander, Nebraska, Albania",Visa,Purchase
7/22/23,23:14:22,"Hill, Fox and Moore",Eric Wilson,128.68,"Port Carolside, North Dakota, Mexico",Visa,Purchase
8/20/23,4:01:52,Ho-Collins,Jennifer Townsend,305.28,"East Ryanberg, Nebraska, Mali",AmEx,Purchase
5/21/23,17:28:43,Ho-Powell,Patricia Herrera,376.43,"West Timothyport, Vermont, Bouvet Island (Bouvetoya)",AmEx,Purchase
10/1/23,23:42:55,Hodges-Rogers,Colleen Butler,97.62,"Harperville, Delaware, Ireland",Visa,Purchase
8/29/23,11:15:00,"Hodges, Smith and Melendez",Ana Gates,176.13,"North Scott, North Dakota, Singapore",MasterCard,Purchase
9/12/23,0:30:15,Hoffman PLC,Julie Watkins,389.35,"Johnfurt, New Hampshire, Guernsey",MasterCard,Purchase
7/27/23,3:09:14,Hoffman-Gilbert,Ana Gates,290.26,"North Kristie, Missouri, Nicaragua",Visa,Purchase
4/13/23,9:00:48,Holden Inc,Julie Chandler,299.85,"North Christopherview, Texas, Congo",AmEx,Purchase
12/13/23,1:25:32,Holder Inc,Elizabeth Adams,184.1,"Fosterton, Arizona, Central African Republic",Visa,Purchase
9/22/23,23:51:11,Holland-Weiss,Craig Roman,430.09,"Martinport, Maryland, United States Virgin Islands",MasterCard,Purchase
7/2/23,23:50:42,Holloway LLC,Tyler Williams,138.59,"Robinfort, Washington, Turkey",AmEx,Purchase
7/5/23,15:27:02,Holmes-Ramirez,Tyler Williams,465.71,"South Tammy, Washington, Saint Barthelemy",AmEx,Purchase
6/24/23,17:57:38,Holmes-Williams,Alyssa Ruiz,362.99,"North Michael, Delaware, Antigua and Barbuda",MasterCard,Purchase
1/26/24,12:41:40,"Holmes, Williams and Powell",Veronica Rivers,140.75,"Lake Leah, Ohio, Montserrat",Visa,Purchase
6/10/23,1:10:27,"Hooper, Morton and Zhang",Daniel Johnson,499.75,"Lindaside, Wisconsin, Isle of Man",MasterCard,Purchase
2/9/24,21:09:36,Hopkins LLC,Alyssa Goodwin,104.93,"Aprilview, Washington, Gambia",AmEx,Purchase
12/29/23,11:50:52,"Horton, Harvey and Franco",Michael Long,453.58,"West Whitneychester, Vermont, Canada",MasterCard,Purchase
7/2/23,11:36:26,"Horton, Norman and Ramirez",Eric Wilson,332.14,"Lake Alectown, Pennsylvania, Russian Federation",MasterCard,Purchase
12/17/23,22:31:38,Howard and Sons,Alyssa Ruiz,137.79,"Mariaburgh, Illinois, American Samoa",MasterCard,Purchase
12/4/23,21:59:42,Howard-Hall,Rebecca Fisher,164.37,"Lake Julia, Illinois, Ecuador",Visa,Purchase
9/18/23,3:30:44,"Howard, Alexander and Kline",Dawn Ramirez,270.07,"West David, Iowa, Saint Pierre and Miquelon",MasterCard,Purchase
10/31/23,21:03:40,Howell Inc,Ana Gates,169.35,"West Wendy, Wyoming, Switzerland",AmEx,Purchase
9/30/23,18:13:01,Hudson-Lee,Julie Chandler,305.5,"Geraldshire, Vermont, Sierra Leone",Visa,Purchase
3/11/23,9:08:11,Hudson-Singleton,Alyssa Ruiz,195.67,"Ramireztown, Michigan, Palestinian Territory",MasterCard,Purchase
8/24/23,19:29:08,Huerta-Trujillo,Mackenzie Graham,449.89,"Fisherfurt, Oklahoma, Macedonia",MasterCard,Purchase
11/21/23,19:08:25,Huff and Sons,Veronica Rivers,34.67,"New Misty, Iowa, Greenland",AmEx,Purchase
4/13/23,9:59:22,"Huff, Mcdaniel and Williams",Zachary Lopez,309.59,"Martinstad, Nevada, Denmark",Visa,Purchase
9/11/23,12:25:18,Huffman-Roberson,Alyssa Ruiz,300.72,"Bradshawstad, Mississippi, Nepal",AmEx,Purchase
11/22/23,10:28:50,Hughes-Johnson,Tyler Williams,106.44,"Annaport, Utah, Kazakhstan",Visa,Purchase
4/24/23,18:13:14,"Hughes, Smith and Salas",Patricia Herrera,371.87,"Garciaborough, Vermont, Spain",AmEx,Purchase
11/6/23,1:25:08,Hunt-White,Jonathan Anderson,483.17,"South Alexander, Missouri, Somalia",AmEx,Purchase
9/27/23,10:29:35,Hunter PLC,Tammy Parker,143.03,"Lake Valeriebury, Delaware, Madagascar",Visa,Purchase
5/20/23,17:15:39,"Hurst, Clark and Moore",Brian Davies,35.75,"Morrisontown, Michigan, South Africa",AmEx,Purchase
5/22/23,20:41:27,Ibarra-Morton,David Smith,100.41,"Beardburgh, Ohio, Seychelles",MasterCard,Purchase
7/16/23,10:41:51,Ingram-Moore,Christopher Hicks,35.78,"South Katherineport, Pennsylvania, Uruguay",Visa,Purchase
11/17/23,19:11:16,"Ingram, Parker and Wilkerson",Jonathan Anderson,358.98,"Knightfort, California, Ghana",Visa,Purchase
6/3/23,19:37:50,Jackson and Sons,Katie Schmitt,494.42,"East Brianview, Vermont, Bermuda",Visa,Purchase
9/13/23,11:42:39,Jackson LLC,Andrea Smith,39.44,"Frostfurt, Indiana, Romania",MasterCard,Purchase
10/23/23,4:03:18,Jackson-Mason,Jennifer Townsend,71.76,"West Alexview, Arizona, Antigua and Barbuda",AmEx,Purchase
11/1/23,1:27:45,Jackson-Phillips,Christopher Hicks,264.64,"Armstrongview, New Mexico, Haiti",Visa,Purchase
2/9/24,11:31:36,"Jackson, Cervantes and Moore",Mackenzie Graham,395.29,"West Kenneth, Minnesota, Netherlands",AmEx,Purchase
11/20/23,12:42:29,"Jackson, Lawrence and Wiggins",Eric Wilson,442.56,"Matthewside, Missouri, Western Sahara",Visa,Purchase
2/10/24,9:30:04,"Jackson, Williamson and Hahn",Colleen Butler,405.55,"Cherylshire, Michigan, Mexico",Visa,Purchase
6/23/23,6:03:46,Jacobs PLC,Katie Schmitt,110.68,"Blackhaven, Tennessee, Togo",AmEx,Purchase
2/2/24,8:08:43,Jacobs PLC,Veronica Rivers,255.88,"Port Christopher, Connecticut, Palestinian Territory",AmEx,Purchase
2/19/23,13:34:16,Jarvis-Maddox,Charles Thomas,97.42,"Michaelstad, New Jersey, Norfolk Island",Visa,Purchase
1/1/24,19:58:14,Jenkins-Ross,Craig Roman,320.03,"Tinabury, New Jersey, Iraq",AmEx,Purchase
11/21/23,0:24:53,"Jenkins, Reyes and Bright",Tyler Williams,350.37,"Jimbury, Wyoming, Jordan",MasterCard,Purchase
3/29/23,17:38:53,Jennings and Sons,Lauren Romero,397.64,"South Luisside, Oregon, Mali",MasterCard,Purchase
9/25/23,10:41:05,Jimenez LLC,Ana Gates,125.42,"East Johnathanland, Illinois, Christmas Island",Visa,Purchase
7/12/23,3:49:42,"Jimenez, Johnston and Wright",Nicole Hamilton,283.39,"Lake Elizabeth, Illinois, Tanzania",AmEx,Purchase
11/27/23,21:53:41,Johnson and Sons,Elizabeth Adams,148.65,"Darinbury, Missouri, Indonesia",Visa,Purchase
3/27/23,23:16:44,Johnson Group,Wanda Sullivan,13.48,"Esparzabury, Michigan, Micronesia",MasterCard,Purchase
9/15/23,5:34:43,Johnson Group,Elizabeth Adams,383.22,"North Gary, Nevada, Palestinian Territory",AmEx,Purchase
10/29/23,9:15:10,Johnson Ltd,Cheyenne Jones,313.76,"North Nicoleside, Kentucky, United States Minor Outlying Islands",AmEx,Purchase
8/7/23,10:36:51,Johnson-Andrews,Julie Chandler,182.13,"Jenniferfurt, Connecticut, Iceland",MasterCard,Purchase
11/7/23,1:25:14,Johnson-Davis,Julie Watkins,121.36,"Loriview, Pennsylvania, Sierra Leone",AmEx,Purchase
10/19/23,13:15:39,Johnson-Garcia,Victor Patel,198.01,"East Jennifer, Illinois, Moldova",AmEx,Purchase
9/5/23,22:23:14,Johnson-Gomez,William Jackson,496.7,"Byrdfurt, South Dakota, Northern Mariana Islands",AmEx,Purchase
12/19/23,15:39:01,Johnson-Vasquez,Cindy Washington,383.2,"Port Jessicafurt, Delaware, Russian Federation",AmEx,Purchase
12/4/23,20:21:16,Johnson-Williams,Marissa Myers,262.85,"Carrieview, California, Papua New Guinea",MasterCard,Purchase
4/9/23,4:11:03,"Johnson, Barnes and Dickerson",Daniel Johnson,108.53,"Cruzchester, Michigan, New Caledonia",Visa,Purchase
5/15/23,13:07:06,"Johnson, Jefferson and Powell",John Barton,437.6,"Lake Jacob, West Virginia, Guyana",Visa,Purchase
9/27/23,1:52:47,"Johnson, Johnson and Phillips",Brian Davies,341.12,"East Michelle, Rhode Island, Lithuania",AmEx,Purchase
6/12/23,20:00:22,"Johnson, Meyer and Williams",Ana Gates,256.46,"Montoyaview, Florida, Oman",AmEx,Purchase
9/20/23,13:52:54,"Johnson, Munoz and Johnson",Jennifer Townsend,222.62,"Lindamouth, Maryland, Montenegro",AmEx,Purchase
2/18/23,18:14:56,"Johnson, Walker and Chandler",Kyle Wolfe,473.6,"New Rachelstad, Illinois, Pitcairn Islands",Visa,Purchase
3/21/23,20:36:08,Johnston PLC,Brian Davies,241.74,"Lake Robertbury, Virginia, Vietnam",Visa,Purchase
8/26/23,18:56:51,Johnston PLC,Cheyenne Jones,340.13,"Seanberg, Illinois, Sweden",AmEx,Purchase
12/3/23,20:58:35,Jones and Sons,Carl Kelly,344.56,"West Jessica, Iowa, Panama",AmEx,Purchase
10/17/23,2:51:53,Jones Inc,Amanda Roberts,487.13,"Brooksport, Virginia, Central African Republic",MasterCard,Purchase
12/14/23,17:15:42,Jones LLC,Tiffany Ramirez,271.05,"Port Mariaborough, North Dakota, Congo",Visa,Purchase
3/3/23,10:36:29,Jones-Bradley,Wanda Sullivan,464.59,"Smithfort, Iowa, Belgium",MasterCard,Purchase
2/8/24,18:37:17,Jones-Diaz,William Jackson,400.89,"Boyerfort, New York, Ireland",AmEx,Purchase
2/21/23,18:17:02,Jones-Gibson,Dawn Ramirez,228.18,"Jeremyfort, Kentucky, Saint Pierre and Miquelon",AmEx,Purchase
6/26/23,17:32:37,Jones-Jackson,Julie Watkins,468.08,"Gardnertown, North Dakota, Nauru",Visa,Purchase
11/14/23,5:14:43,Jones-Little,Veronica Rivers,368.49,"Michaelshire, Wyoming, Swaziland",Visa,Purchase
4/9/23,7:56:42,Jones-Lucas,Craig Roman,421.26,"New Francisco, Minnesota, Latvia",AmEx,Purchase
6/24/23,0:24:56,Jones-Melton,Cindy Washington,444.72,"North Anthony, Utah, Timor-Leste",AmEx,Purchase
5/13/23,13:38:43,Jones-Olson,Tammy Parker,127.24,"Johnsport, North Carolina, Lithuania",Visa,Purchase
2/4/24,9:25:06,Jones-Reid,Mackenzie Graham,70.19,"Lake Karenbury, North Dakota, Azerbaijan",AmEx,Purchase
12/14/23,14:01:00,Jones-Russell,Carly Russell,71.94,"Littlemouth, Louisiana, Gibraltar",MasterCard,Purchase
2/9/24,10:41:55,Jones-White,David Smith,394.24,"Newmanfort, Utah, Grenada",AmEx,Purchase
5/2/23,5:53:20,"Jones, Beck and Vargas",Julie Chandler,39.07,"Lake William, Alaska, Lithuania",Visa,Purchase
10/4/23,14:29:48,"Jones, Butler and Melendez",Brian Davies,308.97,"New Danielside, North Dakota, Saint Helena",MasterCard,Purchase
7/7/23,15:04:42,"Jones, Holland and Perez",Shannon Guerra,485.45,"Branchberg, Alaska, Western Sahara",MasterCard,Purchase
3/14/23,9:31:29,"Jones, Parker and Joseph",Cheyenne Jones,169.34,"South Diana, Florida, Ghana",Visa,Purchase
9/5/23,18:52:09,"Jones, Price and Hicks",Zachary Lopez,218.97,"West Karen, Michigan, Armenia",Visa,Purchase
12/17/23,4:58:59,"Jones, Rodriguez and Taylor",Cheyenne Jones,5.75,"Williamsfort, New Mexico, Macedonia",Visa,Purchase
1/9/24,6:19:14,"Jones, Romero and Jones",Daniel Johnson,376.47,"Lake Ericborough, Nebraska, Liberia",MasterCard,Purchase
3/13/23,7:09:35,Jordan PLC,Nicole Hamilton,20.89,"East Roger, Nebraska, Belgium",MasterCard,Purchase
